Primary Name,Secondary Name
abdominal aortic aneurysm,fib
absence seizure,abnormally excessive sweating
acanthosis nigricans,abscess bartholin
achalasia,acid reflux
achilles tendinitis,acid reflux infant
achilles tendon rupture,acne inversa
acl injury,acquired immunodeficiency syndrome
acne,acute granulocytic leukemia
acoustic neuroma,acute inflammatory demyelinating polyneuropathy
acromegaly,acute lymphoblastic leukemia
actinic keratosis,acute lymphoid leukemia
acute coronary syndrome,acute myeloblastic leukemia
acute flaccid myelitis afm,acute myeloid leukemia
acute kidney failure,acute nonlymphocytic leukemia
acute liver failure,acute radiation sickness
acute lymphocytic leukemia,acute radiation syndrome
acute myelogenous leukemia,acute renal failure
acute sinusitis,acute respiratory distress syndrome
addison disease,addiction alcohol
adenomyosis,addiction gambling
adjustment disorder,addiction nicotine
adnexal tumor,adenitis mesenteric
adrenal cancer,adhd child
adrenoleukodystrophy,adhd adult
adult disorder adhd,adhesive capsulitis
adult still disease,adolescent schizophrenia
age spot liver spot,adrenal mass
agoraphobia,afm
airplane ear,macular degeneration dry
albinism,macular degeneration wet
alcohol intolerance,agnogenic myeloid metaplasia
alcohol poisoning,aidp
alcohol use disorder,
alcoholic hepatitis,alcohol addiction
allergy,hepatitis
syndrome,allergic granulomatosis
alzheimer disease,allergic granulomatosis angiitis
ambiguous genitalia,allergic rhinitis
ameloblastoma,allergy dust mite
amenorrhea,allergy egg
amnesia,allergy food
ampullary cancer,allergy latex
amyloidosis,allergy milk
amyotrophic lateral sclerosis al,allergy mold
anal cancer,allergy nickel
anal fissure,allergy peanut
anal fistula,allergy penicillin
anal itching,allergy pet
anaphylaxis,allergy shellfish
anemia,allergy wheat
aneurysm,alopecia
angelman syndrome,al
angina,alveolar osteitis
angiosarcoma,amblyopia
ankylosing spondylitis,american trypanosomiasis
anorexia nervosa,amnesia transient global
anorgasmia woman,amnestic syndrome
anterior vaginal prolapse cystocele,amyloid disease
anthrax,anemia aplastic
diarrhea,anemia cooley
antiphospholipid syndrome,anemia iron deficiency
antisocial personality disorder,anemia mediterranean
anxiety disorder,anemia sickle cell
aortic aneurysm,anemia vitamin deficiency
aortic dissection,aneurysm abdominal aortic
aortic valve disease,aneurysm aortic
aortic valve regurgitation,aneurysm brain
aortic valve stenosis,aneurysm cerebral
aphasia,aneurysm popliteal
aplastic anemia,aneurysm thoracic aortic
appendicitis,angiitis
ards,angina pectoris
arteriosclerosis atherosclerosis,angioedema hive
arteriovenous fistula,angiofollicular lymph node hyperplasia
arteriovenous malformation,ankle fracture
arthritis,ankle sprain
asbestosis,ankyloglossia
ascariasis,anorexia
aspergillosis,anterior cruciate ligament injury
asthma,anterior vaginal prolapse
asthma attack,colitis
astigmatism,anxiety disorder generalized
astrocytoma,anxiety disorder social
ataxia,aortic aneurysm abdominal
atelectasis,aortic coarctation
athlete foot,apd
atopic dermatitis eczema,aphasia primary progressive
atrial fibrillation,aphthous stomatitis
atrial flutter,aphthous ulcer
atrial septal defect asd,apical ballooning syndrome
atrial tachycardia,aps
atrioventricular canal defect,arenavirus
atrioventricular nodal reentry tachycardia avnrt,argentine hemorrhagic fever
disorder adhd child,arm fracture
atypical hyperplasia breast,malformation
auditory processing disorder,arrhythmia
autism spectrum disorder,arteritis giant cell
autoimmune hepatitis,arteritis takayasu
autoimmune pancreatitis,arthritis basal joint
autonomic neuropathy,arthritis degenerative
avascular necrosis osteonecrosis,arthritis gouty
baby acne,baldness
back pain,barber itch
bacterial vaginosis,barlow syndrome
bad breath,barotitis medium
bag eye,barotrauma
baker cyst,basal joint arthritis
balance problem,bdd
barrett esophagus,benign migratory glossitis
bartholin cyst,benign paroxysmal positional vertigo
basal cell carcinoma,berger disease
bedbug,bile duct cancer
bedsore pressure ulcer,binge drinking
,blackhead
bee sting,bladder calculus
behcet disease,bladder control loss
bell palsy,bladder infection
benign adrenal tumor,bladder inflammation
benign paroxysmal positional vertigo bppv,bladder prolapse
benign peripheral nerve tumor,blastocystosis
benign prostatic hyperplasia bph,blocked ureter
bicuspid aortic valve,bm
bile reflux,body odor sweating
disorder,bone infection
bipolar disorder,bowel incontinence
black hairy tongue,bowel obstruction
bladder cancer,bph
bladder exstrophy,syndrome
bladder stone,brain arteriovenous malformation
blastocystis hominis,brain tumor child
blepharitis,breast cancer inflammatory
blocked tear duct,breast cancer male
blood urine hematuria,breast infection
body dysmorphic disorder,broken blood vessel eye
body louse,broken hip
boil carbuncle,bunyavirus
bone cancer,burn injury
bone metastasis,burning thigh pain
bone spur,bursitis knee
