Primary Name,Secondary Name
idiopathic hypersomnia,ibd
iga nephropathy berger disease,ibs
illness anxiety disorder,idiopathic intracranial hypertension
immune thrombocytopenia itp,idiopathic myelofibrosis
impacted wisdom teeth,idiopathic thrombocytopenic purpura
impetigo,idiopathic toe walking
incompetent cervix,iga vasculitis
indigestion,iih
infant jaundice,immune thrombocytopenic purpura
infant reflux,impaired glucose tolerance
infectious disease,impotence
infertility,inborn error metabolism
inflammatory bowel disease ibd,incontinence bowel
inflammatory breast cancer,incontinence fecal
influenza flu,incontinence nighttime
ingrown hair,incontinence urinary
ingrown toenail,infantile hemangioma
inguinal hernia,infectious arthritis
inherited metabolic disorder,infertility female
insomnia,infertility male
intermittent explosive disorder,inflamed gallbladder
interstitial cystitis,inflamed pancreas
interstitial lung disease,inflamed pericardium
intestinal ischemia,influenza
intestinal obstruction,influenza swine flu
intracranial hematoma,insulin resistance syndrome
intracranial venous malformation,intermittent claudication
intussusception,intestinal lipodystrophy
invasive lobular carcinoma,intraductal carcinoma
iritis,intrahepatic cholestasis pregnancy
iron deficiency anemia,iron overload
irritable bowel syndrome,ischemia intestinal
ischemic colitis,ischemic bone necrosis
itchy skin pruritus,ischemic priapism
jaw tumor cyst,jumper knee
jellyfish sting,juvenile rheumatoid arthritis
jet lag disorder,juvenile schizophrenia
tachycardia,takotsubo cardiomyopathy
takayasu arteritis,tapvr
tapeworm infection,tb
disease,tbi
teen depression,tear decreased production
temporal lobe seizure,teeth grinding
ten,temporal arteritis
tendinitis,temporomandibular disorder
tennis elbow,temporomandibular joint disorder
tension headache,tendinitis achilles
testicular cancer,tendinitis patellar
testicular torsion,tenosynovitis de quervain
tetanus,testicle retractile
tetralogy fallot,testicle undescended
thalassemia,testosterone deficiency
thoracic aortic aneurysm,tga
thoracic outlet syndrome,measles
throat cancer,thromboangiitis obliterans
thrombocytopenia,thrush oral
thrombocytosis,thyroid gland enlargement
thrombophlebitis,thyroid overactive
thumb arthritis,thyroiditis chronic lymphocytic
thunderclap headache,tia
thyroid cancer,tic douloureux
thyroid nodule,tinea barbae
tinea versicolor,tinea capitis
tinnitus,tinea corporis
tmj disorder,tinea cruris
toe walking child,tinea pedis
tongue cancer,tmd
ankyloglossia,toenail fungus
grand mal seizure,tongue tie
tonsil cancer,seizure
tonsillitis,tooth decay
tooth abscess,torsion testicular
torn meniscus,torticollis spasmodic
total anomalous pulmonary venous return tapvr,total anomalous pulmonary venous connection
tourette syndrome,toxemia
toxic hepatitis,toxic epidermal necrolysis
toxic shock syndrome,transposition great vessel
toxoplasmosis,traumatic grief
trachoma,trisomy syndrome
transient global amnesia,trisomy x
transient ischemic attack tia,trouble swallowing
transposition great artery,trypanosomiasis american
transverse myelitis,tumor salivary gland
traumatic brain injury,tympanic membrane perforation
