Primary Name,Secondary Name
nail fungus,nafld
narcissistic personality disorder,nephroblastoma
narcolepsy,neuralgia postherpetic
nasal paranasal tumor,neuralgia trigeminal
nasal polyp,neurilemmoma
nasopharyngeal carcinoma,neurocardiogenic syncope
nearsightedness,neuroendocrine carcinoma skin
neck pain,neurofibrosarcoma
nephrogenic systemic fibrosis,neuroma acoustic
nephrotic syndrome,neuroma morton
neuroblastoma,neuroma plantar
neurodermatitis,neuromyelitis optica spectrum disorder
neuroendocrine tumor,neuropathy autonomic
neurofibroma,neuropathy diabetic
neurofibromatosis,neuropathy hereditary motor sensory
neuromyelitis optica,neuropathy peripheral
nickel allergy,nevus
nicotine dependence,nicotine addiction
disease,nighttime incontinence
nightmare disorder,nmo
nonalcoholic fatty liver disease,nmosd
nonallergic rhinitis,noctural enuresis
lymphoma,hearing loss
nonmelanoma skin cancer,nonischemic priapism
noonan syndrome,nontropical sprue
norovirus infection,nonulcer dyspepsia
obesity,oab
disorder ocd,obesity childhood
obstructive sleep apnea,obstetric cholestasis
occupational asthma,obstructive sleep apnea child
ocular rosacea,ocd
oligodendroglioma,ocular albinism
oppositional defiant disorder odd,oculocutaneous albinism
optic neuritis,oculosympathetic palsy
oral lichen planus,odd
oral thrush,odontogenic tumor cyst
orchitis,oh
orthostatic hypotension postural hypotension,olfactory neuroblastoma
osteoarthritis,onychomycosis
osteochondritis dissecans,oral cancer
osteomyelitis,oral candidiasis
osteoporosis,osteoarthritis cervical
osteosarcoma,osteogenic sarcoma
ovarian cancer,osteonecrosis
ovarian cyst,osteophyte
ovarian hyperstimulation syndrome,otitis externa
overactive bladder,otitis medium
paget disease bone,pad
paget disease breast,paes
painful intercourse dyspareunia,pain back
pancreatic cancer,pain chest
pancreatic cyst,pain wrist
pancreatic neuroendocrine tumor,painful bladder syndrome
pancreatitis,painful period
panic attack panic disorder,palsy bell
paraganglioma,palsy cerebral
paraneoplastic syndrome nervous system,palsy facial
parkinson disease,pancreas inflammation
parotid tumor,papvr
partial anomalous pulmonary venous return,paraneoplastic neurological disorder
parvovirus infection,paraneoplastic neurological syndrome
patellar tendinitis,partial anomalous pulmonary venous connection
patellofemoral pain syndrome,pathological gambling
patent ductus arteriosus pda,pathological laughter cry
patent foramen ovale,pathological stealing
peanut allergy,pba
pectus excavatum,pcos
pediatric brain tumor,pda
pediatric obstructive sleep apnea,pediculosis capitis
pediatric white blood cell disorder,pelvic pain chronic
pelvic inflammatory disease pid,pelvic support problem uterine prolapse
pelvic organ prolapse,perforated eardrum
pemphigus,pericardial inflammation
penicillin allergy,periodontal disease gingivitis
peptic ulcer,periodontal disease periodontitis
pericardial effusion,peripheral vascular disease
pericarditis,pernicious anemia
perimenopause,pernio
periodontitis,peroneal muscular atrophy
peripheral artery disease pad,personality disorder antisocial
peripheral nerve injury,personality disorder borderline
peripheral nerve tumor,personality disorder narcissistic
peripheral neuropathy,personality disorder schizoid
peritonitis,personality disorder schizotypal
persistent depressive disorder,pertussis
persistent symptom syndrome,pe planus
personality disorder,petit mal seizure
pet allergy,pharyngitis
peyronie disease,phlebitis
phenylketonuria pku,phobia social
pheochromocytoma,pick disease
pilonidal cyst,pid
pinched nerve,pile
pineoblastoma,pilonidal dimple
pink eye conjunctivitis,pimple
pinworm infection,pituitary adenoma
pituitary tumor,pituitary insufficiency
pityriasis rosea,pityriasis versicolor
placenta accreta,pkd
placenta previa,pku
placental abruption,plantar neuroma
plague,pleuritis
plantar fasciitis,pls
plantar wart,polyp colon
pleurisy,polyp endometrial
pneumonia,polyp nasal
pneumonitis,polyp stomach
pneumothorax,polyp uterine
poem syndrome,pompholyx
poison ivy rash,poor color vision
polio,popliteal cyst
polycystic kidney disease,injury syndrome
polycystic ovary syndrome pcos,cognitive impairment
polycythemia vera,syndrome
polyhydramnios,posterior prolapse
polymorphous light eruption,postmyocardial infarction syndrome
polymyalgia rheumatica,postural hypotension
polymyositis,syndrome
popliteal artery aneurysm,preexcitation syndrome
popliteal artery entrapment,hypertension
porphyria,premature ovarian failure
posterior cortical atrophy,premature ovarian insufficiency
posterior vaginal prolapse rectocele,premature puberty
postherpetic neuralgia,premenstrual syndrome
postpartum depression,presbycusis
postpartum preeclampsia,pressure sore
syndrome,pressure ulcer
stress disorder ptsd,prickly heat
pain syndrome,primary adrenal insufficiency
pouchitis,primary biliary cirrhosis
syndrome,primary polycythemia
precocious puberty,prolapse mitral valve
prediabetes,prolapsed bladder
preeclampsia,prolapsed uterus
premature birth,prostate gland enlargement
premature ejaculation,pruritis ani
premature ventricular contraction pvc,pruritus
premenstrual syndrome pm,ptsd
presbyopia,puffy eye
prescription drug abuse,pvc
preterm labor,pvd
priapism,pvps
primary biliary cholangitis,pyelonephritis
