text,label
abdominal,disease
aortic,disease
aneurysm,disease
fib,disease
absence,disease
seizure,disease
abnormally,disease
excessive,disease
sweating,disease
acanthosis,disease
nigricans,disease
abscess,disease
bartholin,disease
achalasia,disease
acid,disease
reflux,disease
achilles,disease
tendinitis,disease
acid,disease
reflux,disease
infant,disease
achilles,disease
tendon,disease
rupture,disease
acne,disease
inversa,disease
acl,disease
injury,disease
acquired,disease
immunodeficiency,disease
syndrome,disease
acne,disease
acute,disease
granulocytic,disease
leukemia,disease
acoustic,disease
neuroma,disease
acute,disease
inflammatory,disease
demyelinating,disease
polyneuropathy,disease
acromegaly,disease
acute,disease
lymphoblastic,disease
leukemia,disease
actinic,disease
keratosis,disease
acute,disease
lymphoid,disease
leukemia,disease
acute,disease
coronary,disease
syndrome,disease
acute,disease
myeloblastic,disease
leukemia,disease
acute,disease
flaccid,disease
myelitis,disease
afm,disease
acute,disease
myeloid,disease
leukemia,disease
acute,disease
kidney,disease
failure,disease
acute,disease
nonlymphocytic,disease
leukemia,disease
acute,disease
liver,disease
failure,disease
acute,disease
radiation,disease
sickness,disease
acute,disease
lymphocytic,disease
leukemia,disease
acute,disease
radiation,disease
syndrome,disease
acute,disease
myelogenous,disease
leukemia,disease
acute,disease
renal,disease
failure,disease
acute,disease
sinusitis,disease
acute,disease
respiratory,disease
distress,disease
syndrome,disease
addison,disease
disease,disease
addiction,disease
alcohol,disease
adenomyosis,disease
addiction,disease
gambling,disease
adjustment,disease
disorder,disease
addiction,disease
nicotine,disease
adnexal,disease
tumor,disease
adenitis,disease
mesenteric,disease
adrenal,disease
cancer,disease
adhd,disease
child,disease
adrenoleukodystrophy,disease
adhd,disease
adult,disease
adult,disease
disorder,disease
adhd,disease
adhesive,disease
capsulitis,disease
adult,disease
still,disease
disease,disease
adolescent,disease
schizophrenia,disease
age,disease
spot,disease
liver,disease
spot,disease
adrenal,disease
mass,disease
agoraphobia,disease
afm,disease
airplane,disease
ear,disease
macular,disease
degeneration,disease
dry,disease
albinism,disease
macular,disease
degeneration,disease
wet,disease
alcohol,disease
intolerance,disease
agnogenic,disease
myeloid,disease
metaplasia,disease
alcohol,disease
poisoning,disease
aidp,disease
alcohol,disease
use,disease
