text,label
abdominal aortic aneurysm fib,disease
absence seizure abnormally excessive sweating,disease
acanthosis nigricans abscess bartholin,disease
achalasia acid reflux,disease
achilles tendinitis acid reflux infant,disease
achilles tendon rupture acne inversa,disease
acl injury acquired immunodeficiency syndrome,disease
acne acute granulocytic leukemia,disease
acoustic neuroma acute inflammatory demyelinating polyneuropathy,disease
acromegaly acute lymphoblastic leukemia,disease
actinic keratosis acute lymphoid leukemia,disease
acute coronary syndrome acute myeloblastic leukemia,disease
acute flaccid myelitis afm acute myeloid leukemia,disease
acute kidney failure acute nonlymphocytic leukemia,disease
acute liver failure acute radiation sickness,disease
acute lymphocytic leukemia acute radiation syndrome,disease
acute myelogenous leukemia acute renal failure,disease
acute sinusitis acute respiratory distress syndrome,disease
addison disease addiction alcohol,disease
adenomyosis addiction gambling,disease
adjustment disorder addiction nicotine,disease
adnexal tumor adenitis mesenteric,disease
adrenal cancer adhd child,disease
adrenoleukodystrophy adhd adult,disease
adult disorder adhd adhesive capsulitis,disease
adult still disease adolescent schizophrenia,disease
age spot liver spot adrenal mass,disease
agoraphobia afm,disease
airplane ear macular degeneration dry,disease
albinism macular degeneration wet,disease
alcohol intolerance agnogenic myeloid metaplasia,disease
alcohol poisoning aidp,disease
alcohol use disorder nan,disease
alcoholic hepatitis alcohol addiction,disease
allergy hepatitis,disease
syndrome allergic granulomatosis,disease
alzheimer disease allergic granulomatosis angiitis,disease
ambiguous genitalia allergic rhinitis,disease
ameloblastoma allergy dust mite,disease
amenorrhea allergy egg,disease
amnesia allergy food,disease
ampullary cancer allergy latex,disease
amyloidosis allergy milk,disease
amyotrophic lateral sclerosis al allergy mold,disease
anal cancer allergy nickel,disease
anal fissure allergy peanut,disease
anal fistula allergy penicillin,disease
anal itching allergy pet,disease
anaphylaxis allergy shellfish,disease
anemia allergy wheat,disease
aneurysm alopecia,disease
angelman syndrome al,disease
angina alveolar osteitis,disease
angiosarcoma amblyopia,disease
ankylosing spondylitis american trypanosomiasis,disease
anorexia nervosa amnesia transient global,disease
anorgasmia woman amnestic syndrome,disease
anterior vaginal prolapse cystocele amyloid disease,disease
anthrax anemia aplastic,disease
diarrhea anemia cooley,disease
antiphospholipid syndrome anemia iron deficiency,disease
antisocial personality disorder anemia mediterranean,disease
anxiety disorder anemia sickle cell,disease
aortic aneurysm anemia vitamin deficiency,disease
aortic dissection aneurysm abdominal aortic,disease
aortic valve disease aneurysm aortic,disease
aortic valve regurgitation aneurysm brain,disease
aortic valve stenosis aneurysm cerebral,disease
aphasia aneurysm popliteal,disease
aplastic anemia aneurysm thoracic aortic,disease
appendicitis angiitis,disease
ards angina pectoris,disease
arteriosclerosis atherosclerosis angioedema hive,disease
arteriovenous fistula angiofollicular lymph node hyperplasia,disease
arteriovenous malformation ankle fracture,disease
arthritis ankle sprain,disease
asbestosis ankyloglossia,disease
ascariasis anorexia,disease
aspergillosis anterior cruciate ligament injury,disease
asthma anterior vaginal prolapse,disease
asthma attack colitis,disease
astigmatism anxiety disorder generalized,disease
astrocytoma anxiety disorder social,disease
ataxia aortic aneurysm abdominal,disease
atelectasis aortic coarctation,disease
athlete foot apd,disease
atopic dermatitis eczema aphasia primary progressive,disease
atrial fibrillation aphthous stomatitis,disease
atrial flutter aphthous ulcer,disease
atrial septal defect asd apical ballooning syndrome,disease
atrial tachycardia aps,disease
atrioventricular canal defect arenavirus,disease
atrioventricular nodal reentry tachycardia avnrt argentine hemorrhagic fever,disease
disorder adhd child arm fracture,disease
atypical hyperplasia breast malformation,disease
auditory processing disorder arrhythmia,disease
autism spectrum disorder arteritis giant cell,disease
autoimmune hepatitis arteritis takayasu,disease
autoimmune pancreatitis arthritis basal joint,disease
autonomic neuropathy arthritis degenerative,disease
avascular necrosis osteonecrosis arthritis gouty,disease
baby acne baldness,disease
back pain barber itch,disease
bacterial vaginosis barlow syndrome,disease
bad breath barotitis medium,disease
bag eye barotrauma,disease
baker cyst basal joint arthritis,disease
balance problem bdd,disease
barrett esophagus benign migratory glossitis,disease
bartholin cyst benign paroxysmal positional vertigo,disease
basal cell carcinoma berger disease,disease
bedbug bile duct cancer,disease
bedsore pressure ulcer binge drinking,disease
nan blackhead,disease
bee sting bladder calculus,disease
behcet disease bladder control loss,disease
bell palsy bladder infection,disease
benign adrenal tumor bladder inflammation,disease
benign paroxysmal positional vertigo bppv bladder prolapse,disease
benign peripheral nerve tumor blastocystosis,disease
benign prostatic hyperplasia bph blocked ureter,disease
bicuspid aortic valve bm,disease
bile reflux body odor sweating,disease
disorder bone infection,disease
bipolar disorder bowel incontinence,disease
black hairy tongue bowel obstruction,disease
bladder cancer bph,disease
bladder exstrophy syndrome,disease
bladder stone brain arteriovenous malformation,disease
blastocystis hominis brain tumor child,disease
blepharitis breast cancer inflammatory,disease
blocked tear duct breast cancer male,disease
blood urine hematuria breast infection,disease
body dysmorphic disorder broken blood vessel eye,disease
body louse broken hip,disease
boil carbuncle bunyavirus,disease
bone cancer burn injury,disease
bone metastasis burning thigh pain,disease
bone spur bursitis knee,disease
difficile infection difficile colitis,disease
calciphylaxis callus corn,disease
cancer cancer acute lymphocytic leukemia,disease
canker sore cancer anal,disease
carbon monoxide poisoning cancer basal cell,disease
carcinoid syndrome cancer bladder,disease
carcinoid tumor cancer bone,disease
carcinoma unknown primary cancer breast,disease
cardiogenic shock cancer carcinoid tumor,disease
cardiomyopathy cancer cervical,disease
carotid artery disease cancer chronic lymphocytic leukemia,disease
carpal tunnel syndrome cancer chronic myelogenous leukemia,disease
castleman disease cancer colon,disease
cataract cancer endometrial,disease
cavernous malformation cancer esophageal,disease
cavity tooth decay cancer eye melanoma,disease
celiac disease cancer gallbladder,disease
cellulite cancer gastric,disease
cellulitis cancer hairy cell leukemia,disease
central nervous system vascular malformation cancer hodgkin disease,disease
central sleep apnea cancer hurthle cell,disease
cerebral palsy cancer inflammatory breast,disease
cervical cancer cancer kidney,disease
cervical dystonia cancer leukemia,disease
cervical spondylosis cancer lip,disease
cervicitis cancer liver,disease
chaga disease cancer lung,disease
disease cancer male breast,disease
chemo brain cancer merkel cell,disease
chest pain cancer mesothelioma,disease
chiari malformation cancer mouth,disease
chickenpox cancer multiple myeloma,disease
chilblain cancer nasopharyngeal,disease
child abuse cancer neuroblastoma,disease
childhood apraxia speech cancer lymphoma,disease
childhood asthma cancer oral,disease
childhood obesity cancer ovarian,disease
childhood schizophrenia cancer pancreatic,disease
chlamydia trachomatis cancer paraneoplastic syndrome,disease
cholangiocarcinoma bile duct cancer cancer prostate,disease
cholecystitis cancer rectal,disease
cholera cancer retinoblastoma,disease
cholestasis pregnancy cancer skin,disease
chondrosarcoma cancer soft tissue sarcoma,disease
chordoma cancer squamous cell,disease
choroid plexus carcinoma cancer stomach,disease
chronic cough cancer testicular,disease
chronic daily headache cancer throat,disease
chronic exertional compartment syndrome cancer thyroid,disease
chronic granulomatous disease cancer uterine,disease
chronic hive cancer vagina,disease
chronic kidney disease cancer vulvar,disease
chronic lymphocytic leukemia cancer wilms tumor,disease
chronic myelogenous leukemia candidiasis oral,disease
chronic pelvic pain candidiasis vaginal,disease
chronic sinusitis carbuncle boil,disease
chronic traumatic encephalopathy cardiac arrest sudden,disease
syndrome cardiac ischemia,disease
cirrhosis cardiomegaly,disease
claudication cardiomyopathy dilated,disease
cleft lip cleft palate cardiomyopathy hypertrophic,disease
clubfoot cardiospasm,disease
cluster headache cardiovascular disease,disease
coarctation aorta carotid artery stenosis,disease
cold sore carotid insufficiency,disease
cold urticaria ca,disease
colic cdh,disease
colon cancer celiac artery compression,disease
colon polyp celiac artery compression syndrome,disease
color blindness celiac axis syndrome,disease
coma celiac trunk compression syndrome,disease
common cold cello,disease
common cold baby central auditory processing disorder,disease
common variable immunodeficiency cercarial dermatitis,disease
common wart cerebral aneurysm,disease
complex regional pain syndrome cerebrospinal fluid leak,disease
complicated grief cerebrovascular accident,disease
compulsive gambling cerumen impaction,disease
compulsive sexual behavior cervical osteoarthritis,disease
concussion cervical pain,disease
congenital adrenal hyperplasia chd,disease
congenital diaphragmatic hernia cdh chemical dependency,disease
congenital heart defect child chest wall pain,disease
congenital heart disease adult child maltreatment,disease
congenital mitral valve anomaly chlamydia,disease
congenital myasthenic syndrome cholangitis primary sclerosing,disease
conjoined twin chorea huntington,disease
constipation chronic adrenal insufficiency,disease
constipation child chronic compartment syndrome,disease
contact dermatitis chronic fatigue syndrome,disease
copd chronic kidney failure,disease
corn callus chronic lymphocytic thyroiditis,disease
coronary artery disease chronic obstructive pulmonary disease,disease
coronavirus disease chronic renal failure,disease
corticobasal degeneration corticobasal syndrome chronic vulvar pain,disease
costochondritis cjd,disease
cough headache ckd,disease
cradle cap syndrome,disease
craniopharyngioma clinical depression,disease
craniosynostosis cll,disease
disease clostridioides difficile infection,disease
crohn disease clostridium difficile infection,disease
croup coccidioidomycosis,disease
cryoglobulinemia cold allergy,disease
csf leak cerebrospinal fluid leak cold exposure,disease
cushing syndrome cold common,disease
cutaneous lymphoma colitis ischemic,disease
cutaneous lymphoma colitis microscopic,disease
cyclic vomiting syndrome colitis pseudomembranous,disease
cyclothymia cyclothymic disorder colitis ulcerative,disease
cystic fibrosis collapsed lung,disease
cystitis collapsed lung,disease
cytomegalovirus cmv infection colonic ischemia,disease
dandruff daytime sleepiness,disease
de quervain tenosynovitis dci,disease
deep vein thrombosis dvt ddh,disease
dehydration decreased tear production,disease
delayed ejaculation deficient color vision,disease
delayed sleep phase degenerative arthritis,disease
delirium delayed gastric emptying,disease
dementia delayed sleep phase syndrome,disease
dengue fever delayed phase sleep disorder,disease
disorder dementia frontotemporal,disease
depression major depressive disorder dementia lewy body,disease
dermatitis dementia vascular,disease
dermatofibrosarcoma protuberans dengue hemorrhagic fever,disease
dermatographia dermatographism dependence nicotine,disease
dermatomyositis depression postpartum,disease
desmoid tumor depression teen,disease
desmoplastic small round cell tumor dermatitis atopic,disease
deviated septum dermatitis cercarial,disease
diabetes dermatitis contact,disease
diabetes insipidus dermatitis scratch,disease
diabetic coma dermatitis seborrheic,disease
diabetic hypoglycemia dermatographism,disease
diabetic ketoacidosis dermatophytosis,disease
diabetic nephropathy kidney disease detached retina,disease
diabetic neuropathy developmental dysplasia hip,disease
diabetic retinopathy devic disease,disease
diaper rash dfsp,disease
diarrhea diabetes mellitus,disease
digeorge syndrome deletion syndrome diabetes gestational,disease
dilated cardiomyopathy diabetes type,disease
diphtheria diabetes type child,disease
dislocated shoulder diabetes type,disease
dissociative disorder diabetes type child,disease
diverticulitis diarrhea,disease
dizziness diarrhea traveler,disease
double uterus difficulty speaking,disease
right ventricle difficulty swallowing,disease
syndrome dissecting aneurysm,disease
dressler syndrome drop foot,disease
drug addiction substance use disorder dsps,disease
