text,label
set,travel
internal,travel
clock,travel
fiji,travel
time,travel
exploring,travel
archipelago,travel
exquisite,travel
beach,travel
undersea,travel
marvel,travel
lush,travel
interior,travel
fascinating,travel
culture,travel
rushed,travel
go,travel
dreaming,travel
planning,travel
trip,travel
planning,travel
option,travel
made,travel
help,travel
craft,travel
ideal,travel
itinerary,travel
forest,travel
park,travel
suva,travel
pronounced,travel
oasis,travel
lush,travel
rainforest,travel
teeming,travel
tropical,travel
plant,travel
vivid,travel
melodic,travel
bird,travel
life,travel
fiji,travel
museum,travel
suva,travel
museum,travel
offer,travel
great,travel
journey,travel
fiji,travel
historical,travel
cultural,travel
evolution,travel
enjoy,travel
exhibit,travel
chronological,travel
order,travel
start,travel
suva,travel
municipal,travel
market,travel
suva,travel
beating,travel
heart,travel
suva,travel
great,travel
place,travel
spend,travel
hour,travel
poking,travel
around,travel
camera,travel
boy,travel
barrow,travel
lane,travel
sri,travel
siva,travel
subramaniya,travel
swami,travel
temple,travel
nadi,travel
riotously,travel
bright,travel
hindu,travel
temple,travel
one,travel
place,travel
outside,travel
india,travel
see,travel
traditional,travel
dravidian,travel
architecture,travel
wooden,travel
carving,travel
mariamma,travel
temple,travel
suva,travel
south,travel
indian,travel
festival,travel
held,travel
july,travel
august,travel
fiji,travel
cultural,travel
ritual,travel
extraordinary,travel
art,travel
fire,travel
walking,travel
tavuni,travel
hill,travel
fort,travel
coral,travel
coast,travel
although,travel
many,travel
fort,travel
like,travel
scattered,travel
fiji,travel
tavuni,travel
hill,travel
fort,travel
accessible,travel
visitor,travel
built,travel
18th,travel
century,travel
parliament,travel
fiji,travel
suva,travel
opened,travel
june,travel
1992,travel
parliament,travel
complex,travel
must,travel
one,travel
world,travel
striking,travel
political,travel
hub,travel
designed,travel
atmosphere,travel
tavoro,travel
waterfall,travel
taveuni,travel
framed,travel
thick,travel
ridiculously,travel
green,travel
jungle,travel
three,travel
waterfall,travel
also,travel
known,travel
bouma,travel
fall,travel
epitomise,travel
island,travel
epithet,travel
taveuni,travel
beachcomber,travel
island,travel
resort,travel
mamanuca,travel
group,travel
resort,travel
wonderful,travel
oddity,travel
beloved,travel
backpacker,travel
atmosphere,travel
huge,travel
somehow,travel
airy,travel
even,travel
84,travel
bed,travel
dorm,travel
fiji,travel
paradise,travel
must,travel
northern,travel
viti,travel
levu,travel
itinerary,travel
beautifully,travel
hilly,travel
island,travel
surrounded,travel
scalloped,travel
bay,travel
cave,travel
yasawa,travel
group,travel
odd,travel
limestone,travel
island,travel
amid,travel
string,travel
high,travel
volcanic,travel
island,travel
underwater,travel
limestone,travel
thought,travel
formed,travel
hundred,travel
sri,travel
siva,travel
subramaniya,travel
swami,travel
temple,travel
nadi,travel
riotously,travel
bright,travel
hindu,travel
temple,travel
one,travel
place,travel
outside,travel
india,travel
see,travel
traditional,travel
dravidian,travel
architecture,travel
wooden,travel
carving,travel
namena,travel
marine,travel
reserve,travel
savusavu,travel
around,travel
protected,travel
70sqkm,travel
park,travel
housing,travel
coral,travel
vibrant,travel
marine,travel
life,travel
plentiful,travel
become,travel
poster,travel
child,travel
fiji,travel
underwater,travel
world,travel
garden,travel
sleeping,travel
giant,travel
nadi,travel
suva,travel
viti,travel
levu,travel
garden,travel
spot,travel
absolute,travel
botanic,travel
bonanza,travel
abloom,travel
2000,travel
variety,travel
orchid,travel
plus,travel
indigenous,travel
flora,travel
suva,travel
municipal,travel
market,travel
suva,travel
beating,travel
heart,travel
suva,travel
great,travel
place,travel
spend,travel
hour,travel
poking,travel
around,travel
camera,travel
boy,travel
barrow,travel
lane,travel
best,travel
thing,travel
tempting,travel
never,travel
leave,travel
beach,travel
fabulous,travel
fiji,travel
promise,travel
worth,travel
13,travel
incredible,travel
experience,travel
ca,travel
miss,travel
thing,travel
know,travel
wondering,travel
need,travel
know,travel
going,travel
fiji,travel
insider,travel
tip,travel
reveal,travel
pack,travel
go,travel
safety,travel
advice,travel
